,precision,recall,f1-score,support
tRNA,0.8928571428571429,1.0,0.9433962264150945,50.0
rRNA,1.0,0.9969230769230769,0.9984591679506933,325.0
Cis-reg,0.7039106145251397,0.7455621301775148,0.7241379310344828,169.0
sRNA,0.5961538461538461,0.5210084033613446,0.5560538116591929,119.0
accuracy,0.8476621417797888,0.8476621417797888,0.8476621417797888,0.8476621417797888
macro avg,0.7982304008840322,0.8158734026154841,0.8055117842648658,663.0
weighted avg,0.8439608728354653,0.8476621417797888,0.8449754974917068,663.0
