,precision,recall,f1-score,support
rRNA,1.0,0.9538461538461539,0.9763779527559054,325.0
sRNA,0.5025125628140703,0.8403361344537815,0.6289308176100629,119.0
Cis-reg,0.8333333333333334,0.3254437869822485,0.4680851063829787,169.0
tRNA,0.5681818181818182,1.0,0.7246376811594203,50.0
accuracy,0.7767722473604827,0.7767722473604827,0.7767722473604827,0.7767722473604827
macro avg,0.7260069285823055,0.779906518820546,0.6995078894770919,663.0
weighted avg,0.8356582491965288,0.7767722473604827,0.7654658657284482,663.0
