,precision,recall,f1-score,support
tRNA,0.9090909090909091,1.0,0.9523809523809523,50.0
rRNA,1.0,0.9876923076923076,0.9938080495356036,325.0
Cis-reg,0.8689655172413793,0.7455621301775148,0.802547770700637,169.0
sRNA,0.7112676056338029,0.8487394957983193,0.7739463601532567,119.0
accuracy,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255
macro avg,0.8723310079915229,0.8954984834170355,0.8806707831926124,663.0
weighted avg,0.9079194011142702,0.9019607843137255,0.902468859464199,663.0
