,precision,recall,f1-score,support
tRNA,0.9433962264150944,1.0,0.970873786407767,50.0
rRNA,1.0,0.9938461538461538,0.9969135802469136,325.0
Cis-reg,0.8521739130434782,0.5798816568047337,0.6901408450704226,169.0
sRNA,0.5930232558139535,0.8571428571428571,0.7010309278350515,119.0
accuracy,0.8642533936651584,0.8642533936651584,0.8642533936651584,0.8642533936651584
macro avg,0.8471483488181315,0.8577176669484362,0.8397397848900388,663.0
weighted avg,0.8850029714433831,0.8642533936651584,0.8636456804372666,663.0
