,precision,recall,f1-score,support
tRNA,0.8620689655172413,1.0,0.9259259259259259,50.0
rRNA,1.0,0.9569230769230769,0.9779874213836477,325.0
Cis-reg,0.7884615384615384,0.727810650887574,0.7569230769230769,169.0
sRNA,0.6956521739130435,0.8067226890756303,0.7470817120622568,119.0
accuracy,0.8748114630467572,0.8748114630467572,0.8748114630467572,0.8748114630467572
macro avg,0.8365456694729558,0.8728641042215703,0.8519795340737268,663.0
weighted avg,0.8810498596855418,0.8748114630467572,0.8762668657336204,663.0
