,precision,recall,f1-score,support
rRNA,1.0,0.9538461538461539,0.9763779527559054,325.0
sRNA,0.5405405405405406,0.8403361344537815,0.6578947368421053,119.0
Cis-reg,0.8191489361702128,0.4556213017751479,0.5855513307984791,169.0
tRNA,0.6756756756756757,1.0,0.8064516129032258,50.0
accuracy,0.8099547511312217,0.8099547511312217,0.8099547511312217,0.8099547511312217
macro avg,0.7588412880966073,0.8124508975187709,0.756568908324929,663.0
weighted avg,0.8469747787645159,0.8099547511312217,0.806776868597261,663.0
