,precision,recall,f1-score,support
rRNA,1.0,0.9538461538461539,0.9763779527559054,325.0
sRNA,0.5073891625615764,0.865546218487395,0.639751552795031,119.0
Cis-reg,0.8076923076923077,0.3727810650887574,0.5101214574898785,169.0
tRNA,0.6944444444444444,1.0,0.819672131147541,50.0
accuracy,0.7933634992458521,0.7933634992458521,0.7933634992458521,0.7933634992458521
macro avg,0.7523814786745822,0.7980433593555766,0.736480773547089,663.0
weighted avg,0.8395196569638761,0.7933634992458521,0.78529019954969,663.0
