,precision,recall,f1-score,support
rRNA,1.0,0.9538461538461539,0.9763779527559054,325.0
sRNA,0.47085201793721976,0.8823529411764706,0.6140350877192983,119.0
Cis-reg,0.8392857142857143,0.2781065088757396,0.41777777777777775,169.0
tRNA,0.6756756756756757,1.0,0.8064516129032258,50.0
accuracy,0.7722473604826546,0.7722473604826546,0.7722473604826546,0.7722473604826546
macro avg,0.7464533519746523,0.778576400974591,0.7036606077890517,663.0
weighted avg,0.8395994866253373,0.7722473604826546,0.7561388162501832,663.0
