,precision,recall,f1-score,support
rRNA,1.0,0.9907692307692307,0.9953632148377125,325.0
sRNA,0.7816091954022989,0.5714285714285714,0.6601941747572815,119.0
Cis-reg,0.7412935323383084,0.8816568047337278,0.8054054054054053,169.0
tRNA,0.9433962264150944,1.0,0.970873786407767,50.0
accuracy,0.8883861236802413,0.8883861236802413,0.8883861236802413,0.8883861236802413
macro avg,0.8665747385389253,0.8609636517328825,0.8579591453520415,663.0
weighted avg,0.890588103376776,0.8883861236802413,0.8849371862025261,663.0
