,precision,recall,f1-score,support
tRNA,0.8928571428571429,1.0,0.9433962264150945,50.0
rRNA,1.0,0.9938461538461538,0.9969135802469136,325.0
Cis-reg,0.8620689655172413,0.7396449704142012,0.7961783439490446,169.0
sRNA,0.697841726618705,0.8151260504201681,0.751937984496124,119.0
accuracy,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.8974358974358975
macro avg,0.8631919587482724,0.8871542936701307,0.8721065337767941,663.0
weighted avg,0.9025274174704327,0.8974358974358975,0.8977397966567555,663.0
