,precision,recall,f1-score,support
tRNA,0.9615384615384616,1.0,0.9803921568627451,50.0
rRNA,1.0,0.9692307692307692,0.9843749999999999,325.0
Cis-reg,0.7857142857142857,0.7810650887573964,0.7833827893175074,169.0
sRNA,0.7109375,0.7647058823529411,0.7368421052631579,119.0
accuracy,0.8868778280542986,0.8868778280542986,0.8868778280542986,0.8868778280542986
macro avg,0.8645475618131868,0.8787504350852767,0.8712480128608525,663.0
weighted avg,0.8905945699285631,0.8868778280542986,0.8884123450439091,663.0
