,precision,recall,f1-score,support
rRNA,1.0,0.9876923076923076,0.9938080495356036,325.0
sRNA,0.6967213114754098,0.7142857142857143,0.7053941908713693,119.0
Cis-reg,0.7904191616766467,0.7810650887573964,0.7857142857142857,169.0
tRNA,0.9433962264150944,1.0,0.970873786407767,50.0
accuracy,0.8868778280542986,0.8868778280542986,0.8868778280542986,0.8868778280542986
macro avg,0.8576341748917877,0.8707607776838546,0.8639475781322564,663.0
weighted avg,0.8878740357612093,0.8868778280542986,0.8872683686559076,663.0
