,precision,recall,f1-score,support
rRNA,1.0,0.9938461538461538,0.9969135802469136,325.0
sRNA,0.5023041474654378,0.9159663865546218,0.6488095238095238,119.0
Cis-reg,0.8611111111111112,0.3668639053254438,0.5145228215767634,169.0
tRNA,0.9803921568627451,1.0,0.99009900990099,50.0
accuracy,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.8205128205128205
macro avg,0.8359518538598235,0.8191691114315549,0.7875862338835478,663.0
weighted avg,0.8737882038752672,0.8205128205128205,0.8109570954073948,663.0
