,precision,recall,f1-score,support
tRNA,0.819672131147541,1.0,0.9009009009009009,50.0
rRNA,1.0,0.9907692307692307,0.9953632148377125,325.0
Cis-reg,0.7960526315789473,0.7159763313609467,0.7538940809968847,169.0
sRNA,0.6484375,0.6974789915966386,0.6720647773279352,119.0
accuracy,0.8687782805429864,0.8687782805429864,0.8687782805429864,0.8687782805429864
macro avg,0.8160405656816221,0.8510561384317039,0.8305557435158583,663.0
weighted avg,0.8713130675629249,0.8687782805429864,0.8686604797251878,663.0
