,precision,recall,f1-score,support
tRNA,0.9615384615384616,1.0,0.9803921568627451,50.0
rRNA,0.9938080495356038,0.9876923076923076,0.9907407407407408,325.0
Cis-reg,0.8308823529411765,0.6686390532544378,0.7409836065573772,169.0
sRNA,0.6381578947368421,0.8151260504201681,0.7158671586715868,119.0
accuracy,0.8763197586726998,0.8763197586726998,0.8763197586726998,0.8763197586726998
macro avg,0.856096689688021,0.8678643528417285,0.8569959157081125,663.0
weighted avg,0.8860097229211725,0.8763197586726998,0.8769604373665061,663.0
