,precision,recall,f1-score,support
tRNA,0.9259259259259259,1.0,0.9615384615384615,50.0
rRNA,1.0,0.9538461538461539,0.9763779527559054,325.0
Cis-reg,0.7861635220125787,0.7396449704142012,0.7621951219512195,169.0
sRNA,0.6785714285714286,0.7983193277310925,0.7335907335907336,119.0
accuracy,0.8748114630467572,0.8748114630467572,0.8748114630467572,0.8748114630467572
macro avg,0.8476652191274834,0.872952612997862,0.8584255674590799,663.0
weighted avg,0.8822140746854028,0.8748114630467572,0.8770860190492394,663.0
