,precision,recall,f1-score,support
tRNA,0.9259259259259259,1.0,0.9615384615384615,50.0
rRNA,1.0,0.9938461538461538,0.9969135802469136,325.0
Cis-reg,0.7443609022556391,0.5857988165680473,0.6556291390728477,169.0
sRNA,0.5424836601307189,0.6974789915966386,0.6102941176470587,119.0
accuracy,0.8371040723981901,0.8371040723981901,0.8371040723981901,0.8371040723981901
macro avg,0.803192622078071,0.8192809905027099,0.8060938246263203,663.0
weighted avg,0.8471324952233105,0.8371040723981901,0.8378584632888102,663.0
