,precision,recall,f1-score,support
tRNA,0.847457627118644,1.0,0.9174311926605504,50.0
rRNA,1.0,0.9538461538461539,0.9763779527559054,325.0
Cis-reg,0.696969696969697,0.5443786982248521,0.611295681063123,169.0
sRNA,0.43209876543209874,0.5882352941176471,0.4982206405693949,119.0
accuracy,0.7873303167420814,0.7873303167420814,0.7873303167420814,0.7873303167420814
macro avg,0.7441315223801099,0.7716150365471633,0.7508313667622434,663.0
weighted avg,0.809322041071238,0.7873303167420814,0.7930492015175303,663.0
