,precision,recall,f1-score,support
tRNA,0.9259259259259259,1.0,0.9615384615384615,50.0
rRNA,1.0,0.9538461538461539,0.9763779527559054,325.0
Cis-reg,0.8529411764705882,0.514792899408284,0.6420664206642067,169.0
sRNA,0.583756345177665,0.9663865546218487,0.7278481012658228,119.0
accuracy,0.8476621417797888,0.8476621417797888,0.8476621417797888,0.8476621417797888
macro avg,0.8406558618935448,0.8587564019690717,0.8269577340560991,663.0
weighted avg,0.8822177378521384,0.8476621417797888,0.8454342486658767,663.0
