,precision,recall,f1-score,support
rRNA,1.0,0.9938461538461538,0.9969135802469136,325.0
sRNA,0.5698324022346368,0.8571428571428571,0.6845637583892618,119.0
Cis-reg,0.8454545454545455,0.5502958579881657,0.6666666666666666,169.0
tRNA,0.9803921568627451,1.0,0.99009900990099,50.0
accuracy,0.8567119155354449,0.8567119155354449,0.8567119155354449,0.8567119155354449
macro avg,0.8489197761379819,0.8503212172442941,0.834560753800958,663.0
weighted avg,0.8819177705744754,0.8567119155354449,0.856156286561516,663.0
