,precision,recall,f1-score,support
tRNA,0.8620689655172413,1.0,0.9259259259259259,50.0
rRNA,0.9908536585365854,1.0,0.995405819295559,325.0
Cis-reg,0.7202380952380952,0.7159763313609467,0.7181008902077152,169.0
sRNA,0.6055045871559633,0.5546218487394958,0.5789473684210525,119.0
accuracy,0.8476621417797888,0.8476621417797888,0.8476621417797888,0.8476621417797888
macro avg,0.7946663266119713,0.8176495450251107,0.8045950009625632,663.0
weighted avg,0.8429957334344645,0.8476621417797888,0.8447314854518282,663.0
