,precision,recall,f1-score,support
tRNA,0.9259259259259259,1.0,0.9615384615384615,50.0
rRNA,1.0,0.9938461538461538,0.9969135802469136,325.0
Cis-reg,0.8623853211009175,0.5562130177514792,0.6762589928057555,169.0
sRNA,0.5988700564971752,0.8907563025210085,0.7162162162162163,119.0
accuracy,0.8642533936651584,0.8642533936651584,0.8642533936651584,0.8642533936651584
macro avg,0.8467953258810047,0.8602038685296604,0.8377318127018367,663.0
weighted avg,0.8873377862526624,0.8642533936651584,0.8621287121735631,663.0
